Age EnvironmentSatisfaction JobInvolvement JobLevel JobSatisfaction MaritalStatus MonthlyIncome TotalWorkingYears YearsInCurrentRole YearsAtCompany MonthlyIncomeNorm Attrition
50 4 3 4 4 1.0 17399 32 4 5 0.8642691415313225 1.0
36 2 3 2 2 1.0 4941 7 2 3 0.20734022358152288 1.0
21 2 3 1 2 0.0 2679 1 0 1 0.088061590381776 0.0
52 2 3 3 2 0.0 10445 18 6 8 0.49757435140265766 1.0
33 2 3 3 3 0.0 13610 15 6 7 0.6644695211980595 0.0
47 3 2 3 2 1.0 10333 28 11 22 0.49166842438304154 1.0
22 4 2 2 4 0.0 4775 4 2 2 0.19858679603459187 1.0
33 3 3 2 4 1.0 5368 7 5 6 0.22985657034380932 1.0
40 3 2 3 4 0.0 10855 15 11 12 0.5191942628137524 1.0
27 4 1 2 4 0.0 5071 8 2 6 0.2141953174435773 1.0
40 1 3 1 4 0.0 2406 8 0 1 0.07366589327146171 1.0
55 4 3 3 2 0.0 10976 23 2 3 0.5255747732545877 1.0
33 1 2 1 2 0.0 2313 5 2 2 0.06876186458553048 0.0
37 1 2 3 3 0.0 10609 17 1 14 0.5062223159670955 0.0
46 4 2 5 2 0.0 18789 26 4 11 0.9375659143640582 1.0
38 3 3 2 2 0.0 9924 10 8 9 0.4701012444631934 1.0
30 1 2 2 4 0.0 4627 10 2 9 0.19078253533009915 1.0
36 4 1 2 4 1.0 5406 15 12 15 0.23186036701117907 1.0
40 2 3 5 2 0.0 19833 21 8 21 0.9926175912254799 1.0
53 3 3 4 3 1.0 14852 22 13 17 0.7299620333263025 1.0
32 4 3 2 2 1.0 5470 10 5 9 0.2352351824509597 1.0
55 4 3 2 3 0.0 4035 4 2 3 0.15956549251212823 1.0
30 3 1 2 4 0.0 6091 11 4 5 0.2679814385150812 1.0
23 3 4 1 1 0.0 1601 1 0 0 0.031217042817970893 0.0
51 2 2 2 3 0.0 6132 10 0 1 0.2701434296561907 1.0
42 4 2 2 4 0.0 6062 8 3 4 0.2664522252689306 1.0
20 4 3 1 3 0.0 1009 1 0 1 0.0 0.0
29 2 1 1 4 0.0 2168 6 4 5 0.06111579835477747 1.0
43 1 2 4 2 1.0 14336 25 10 25 0.702752583843071 1.0
40 3 2 2 4 0.0 4422 16 1 1 0.1799725796245518 1.0
29 2 3 1 4 0.0 3131 10 8 10 0.11189622442522675 1.0
44 3 3 1 2 1.0 2342 6 3 5 0.07029107783168108 0.0
47 1 3 4 3 0.0 17169 26 17 20 0.8521408985446108 1.0
32 1 3 2 4 0.0 5309 10 8 10 0.22674541236026155 1.0
38 3 3 1 1 0.0 2619 8 0 0 0.08489770090698165 1.0
58 4 1 2 3 1.0 5660 12 3 5 0.24525416578780848 1.0
45 2 3 3 4 0.0 9380 10 1 3 0.441415313225058 1.0
56 3 3 4 4 0.0 11103 30 7 10 0.5322716726429023 1.0
37 3 1 2 4 1.0 9525 6 3 6 0.449061379455811 1.0
39 1 4 3 3 0.0 7880 9 7 8 0.3623180763551993 1.0
54 3 2 3 3 0.0 10686 13 4 9 0.5102826407930816 1.0
32 4 3 1 3 0.0 4025 10 7 8 0.15903817759966252 1.0
48 1 3 3 3 0.0 12504 15 0 0 0.6061484918793504 1.0
33 3 4 2 2 0.0 5488 6 5 6 0.23618434929339802 1.0
31 2 1 2 3 0.0 6172 12 7 7 0.27225268930605356 0.0
46 2 3 3 1 1.0 10453 24 13 24 0.4979962033326302 1.0
38 4 3 2 4 1.0 5745 10 2 2 0.24973634254376714 1.0
38 4 3 2 2 0.0 4440 16 13 15 0.18092174646699008 1.0
43 4 3 2 4 0.0 7847 10 9 10 0.36057793714406244 1.0
37 2 3 1 4 0.0 2326 4 2 4 0.06944737397173592 1.0
30 3 2 2 4 0.0 4152 11 10 11 0.1657350769879772 1.0
39 3 2 4 2 1.0 17123 21 9 19 0.8497152499472685 1.0
43 1 2 5 3 0.0 19392 21 12 16 0.9693630035857415 1.0
27 4 2 2 1 0.0 6811 9 6 7 0.30594811221261337 1.0
42 3 2 2 3 0.0 6244 10 4 5 0.27604935667580677 1.0
31 1 4 1 3 1.0 3978 4 2 2 0.1565597975110736 1.0
39 4 3 1 1 0.0 2404 8 2 2 0.07356043028896857 0.0
29 4 2 4 4 1.0 16124 9 7 7 0.7970364901919427 1.0
49 3 3 5 1 0.0 18665 22 2 3 0.9310272094494833 1.0
38 1 2 1 1 0.0 2858 20 0 1 0.09750052731491246 1.0
42 1 3 4 4 0.0 15992 16 0 1 0.790075933347395 1.0
34 4 3 3 3 1.0 8628 9 7 8 0.4017612318076355 1.0
36 3 3 2 4 0.0 6586 17 8 16 0.29408352668213456 1.0
27 3 3 2 4 0.0 4342 5 2 4 0.175754060324826 1.0
40 3 1 3 1 1.0 10932 20 0 1 0.5232545876397384 1.0
34 4 2 3 3 0.0 7083 10 9 10 0.3202910778316811 1.0
43 3 3 3 1 0.0 9985 10 0 1 0.4733178654292343 1.0
31 1 3 3 4 1.0 10793 13 7 13 0.5159249103564649 1.0
41 4 3 1 4 0.0 2782 12 3 5 0.09349293398017296 1.0
31 4 1 2 1 0.0 5003 10 8 10 0.21060957603881036 1.0
45 2 3 2 3 0.0 5399 12 2 4 0.23149124657245307 1.0
33 2 2 2 4 0.0 4682 9 7 7 0.19368276734866063 1.0
36 3 4 2 4 0.0 2571 17 2 5 0.08236658932714618 1.0
33 2 4 1 2 0.0 2028 14 11 14 0.05373338958025733 1.0
31 1 3 1 3 1.0 2911 5 2 5 0.1002952963509808 1.0
19 3 1 1 1 0.0 2325 1 0 0 0.06939464248048935 0.0
32 2 4 1 2 0.0 2794 5 1 5 0.09412571187513183 1.0
36 1 3 2 4 0.0 7779 18 9 11 0.3569921957392955 1.0
37 3 3 2 2 1.0 4071 19 0 10 0.16146382619700486 1.0
29 2 2 1 1 0.0 2319 1 0 1 0.06907825353300992 0.0
29 3 3 1 4 1.0 2514 11 5 7 0.07936089432609154 1.0
41 2 1 5 3 0.0 19973 21 16 21 1.0 1.0
30 3 3 2 4 0.0 6347 12 9 11 0.28148070027420374 1.0
39 3 3 3 3 0.0 13464 9 3 4 0.6567707234760599 1.0
22 3 3 1 1 0.0 2398 1 0 1 0.07324404134148914 0.0
31 3 1 2 3 0.0 4345 6 4 5 0.1759122547985657 1.0
45 4 3 4 4 0.0 17650 26 3 9 0.8775047458342122 1.0
42 1 3 2 3 1.0 4556 19 4 5 0.18703859945159249 1.0
31 3 2 3 3 0.0 8943 10 9 10 0.41837165155030587 1.0
51 4 1 2 2 1.0 5482 13 1 4 0.2358679603459186 1.0
34 4 2 2 1 0.0 5343 14 9 13 0.228538283062645 1.0
33 4 3 4 3 0.0 17444 10 8 10 0.8666420586374183 1.0
40 2 3 2 2 0.0 5677 15 8 11 0.24615060113900022 1.0
33 4 4 3 3 1.0 8380 10 8 9 0.38868382197848556 1.0
34 2 3 2 3 0.0 5714 6 5 6 0.2481016663151234 1.0
34 2 3 1 4 0.0 2691 10 9 10 0.08869436827673487 1.0
30 2 4 3 1 0.0 11416 9 7 8 0.5487766294030795 1.0
45 4 3 2 1 0.0 3633 9 8 9 0.13836743303100613 1.0
37 1 3 3 2 1.0 8834 9 5 9 0.41262391900442946 1.0
31 4 3 2 4 1.0 7547 13 7 7 0.3447584897700907 1.0
32 4 3 1 4 0.0 3068 8 7 7 0.10857414047669268 1.0
30 1 3 1 3 0.0 2132 7 2 5 0.05921746466990086 0.0
33 3 4 2 1 0.0 5376 10 3 5 0.2302784222737819 1.0
38 3 3 3 3 0.0 7861 10 0 1 0.36131617802151444 1.0
41 3 3 2 1 1.0 3072 17 0 1 0.10878506644167897 1.0
51 1 1 3 4 0.0 10650 18 2 4 0.508384307108205 0.0
38 1 2 2 1 1.0 6288 13 3 4 0.27836954229065597 1.0
27 2 2 2 3 0.0 3540 9 8 9 0.13346340434507487 1.0
53 4 3 4 4 0.0 14275 33 9 12 0.6995359628770301 1.0
30 4 3 2 3 0.0 5301 4 1 2 0.22632356043028898 1.0
30 2 3 1 4 0.0 1081 1 0 1 0.0037966673697532164 0.0
30 4 1 1 3 0.0 3833 7 2 2 0.1489137312803206 1.0
58 4 3 5 1 0.0 19701 32 8 9 0.9856570343809323 1.0
34 2 4 2 4 1.0 9725 16 1 15 0.4596076777051255 1.0
51 3 3 2 4 0.0 4936 18 7 7 0.20707656612529002 1.0
39 3 3 4 1 0.0 17068 21 9 21 0.8468150179287071 1.0
36 2 3 3 4 0.0 9980 10 3 10 0.47305420797300146 1.0
32 3 2 2 2 0.0 5228 13 12 13 0.22247416156928917 1.0
56 1 3 1 3 0.0 2942 18 4 5 0.10192997257962455 1.0
57 2 4 2 3 0.0 4900 13 9 12 0.20517823244041342 1.0
57 1 2 4 4 1.0 14118 32 0 1 0.6912571187513182 1.0
